"tax_year","credit_type","county","number_of_claims","boro_credit_total","average_credit"
2020,"City EITC","Bronx",155137,17479508,113
2020,"City EITC","Brooklyn",217022,23476211,108
2020,"City EITC","Manhattan",81521,7457908,91
2020,"City EITC","Queens",180052,17052581,95
2020,"City EITC","Staten Island",25939,2697082,104
2020,"State EITC","Bronx",151102,101354645,671
2020,"State EITC","Brooklyn",207871,136217277,655
2020,"State EITC","Manhattan",78324,43332160,553
2020,"State EITC","Queens",171281,98808431,577
2020,"State EITC","Staten Island",24849,15633585,629
2020,"Noncust. EITC","Bronx",267,108605,407
2020,"Noncust. EITC","Brooklyn",241,91469,380
2020,"Noncust. EITC","Manhattan",115,45140,393
2020,"Noncust. EITC","Queens",215,80798,376
2020,"Noncust. EITC","Staten Island",26,12267,472
2019,"City EITC","Bronx",185457,22528682,121
2019,"City EITC","Brooklyn",264976,30676678,116
2019,"City EITC","Manhattan",103018,9678535,94
2019,"City EITC","Queens",235955,23611607,100
2019,"City EITC","Staten Island",30505,3369389,110
2019,"State EITC","Bronx",181051,130923294,723
2019,"State EITC","Brooklyn",254409,178138193,700
2019,"State EITC","Manhattan",99545,56660748,569
2019,"State EITC","Queens",225046,136747063,608
2019,"State EITC","Staten Island",29332,19594226,668
2019,"Noncust. EITC","Bronx",377,194486,516
2019,"Noncust. EITC","Brooklyn",417,204963,492
2019,"Noncust. EITC","Manhattan",179,90177,504
2019,"Noncust. EITC","Queens",347,179383,517
2019,"Noncust. EITC","Staten Island",54,25003,463
2018,"City EITC","Bronx",185292,22795000,123
2018,"City EITC","Brooklyn",269570,31666000,117
2018,"City EITC","Manhattan",103966,9928000,95
2018,"City EITC","Queens",235766,23988000,102
2018,"City EITC","Staten Island",29835,3317000,111
2018,"State EITC","Bronx",181152,132254000,730
2018,"State EITC","Brooklyn",258943,183420000,708
2018,"State EITC","Manhattan",100344,57900000,577
2018,"State EITC","Queens",225095,138611000,616
2018,"State EITC","Staten Island",28690,19238000,671
2018,"Noncust. EITC","Bronx",411,204000,498
2018,"Noncust. EITC","Brooklyn",481,242000,504
2018,"Noncust. EITC","Manhattan",244,125000,511
2018,"Noncust. EITC","Queens",351,180000,513
2018,"Noncust. EITC","Staten Island",62,28000,459
2017,"City EITC","Bronx",193031,24281000,126
2017,"City EITC","Brooklyn",286020,34055000,119
2017,"City EITC","Manhattan",111234,10883000,98
2017,"City EITC","Queens",248568,25944000,104
2017,"City EITC","Staten Island",30474,3394000,111
2017,"State EITC","Bronx",188101,140861000,749
2017,"State EITC","Brooklyn",275382,197353000,717
2017,"State EITC","Manhattan",107353,63484000,591
2017,"State EITC","Queens",238151,149935000,630
2017,"State EITC","Staten Island",29366,19666000,670
2017,"Noncust. EITC","Bronx",473,238000,503
2017,"Noncust. EITC","Brooklyn",524,270000,516
2017,"Noncust. EITC","Manhattan",217,104000,479
2017,"Noncust. EITC","Queens",402,211000,524
2017,"Noncust. EITC","Staten Island",53,29000,538
2016,"City EITC","Bronx",195538,24117000,123
2016,"City EITC","Brooklyn",292902,34701000,118
2016,"City EITC","Manhattan",115979,11171000,96
2016,"City EITC","Queens",250071,26059000,104
2016,"City EITC","Staten Island",29952,3283000,110
2016,"State EITC","Bronx",190404,139930000,735
2016,"State EITC","Brooklyn",281960,201268000,714
2016,"State EITC","Manhattan",111884,65194000,583
2016,"State EITC","Queens",239608,150719000,629
2016,"State EITC","Staten Island",28924,19065000,659
2016,"Noncust. EITC","Bronx",484,248000,513
2016,"Noncust. EITC","Brooklyn",555,283000,509
2016,"Noncust. EITC","Manhattan",262,133000,506
2016,"Noncust. EITC","Queens",461,237000,515
2016,"Noncust. EITC","Staten Island",64,27000,429
2015,"City EITC","Bronx",199493,24623000,123
2015,"City EITC","Brooklyn",302413,36006000,119
2015,"City EITC","Manhattan",122000,11882000,97
2015,"City EITC","Queens",255169,26812000,105
2015,"City EITC","Staten Island",30518,3332000,109
2015,"State EITC","Bronx",194873,143335000,736
2015,"State EITC","Brooklyn",292189,209283000,716
2015,"State EITC","Manhattan",117969,69446000,589
2015,"State EITC","Queens",245545,155467000,633
2015,"State EITC","Staten Island",29589,19418000,656
2015,"Noncust. EITC","Bronx",471,238000,505
2015,"Noncust. EITC","Brooklyn",574,295000,515
2015,"Noncust. EITC","Manhattan",255,134000,527
2015,"Noncust. EITC","Queens",468,250000,534
2015,"Noncust. EITC","Staten Island",62,28000,448
2014,"City EITC","Bronx",202768,24957000,123
2014,"City EITC","Brooklyn",307574,36326000,118
2014,"City EITC","Manhattan",125667,12079000,96
2014,"City EITC","Queens",256292,26886000,105
2014,"City EITC","Staten Island",30398,3289000,108
2014,"State EITC","Bronx",198261,144905000,731
2014,"State EITC","Brooklyn",298182,210897000,707
2014,"State EITC","Manhattan",121866,70394000,578
2014,"State EITC","Queens",247658,155773000,629
2014,"State EITC","Staten Island",29385,19094000,650
2014,"Noncust. EITC","Bronx",566,273000,482
2014,"Noncust. EITC","Brooklyn",645,316000,490
2014,"Noncust. EITC","Manhattan",323,156000,482
2014,"Noncust. EITC","Queens",519,275000,530
2014,"Noncust. EITC","Staten Island",83,41000,498
2013,"City EITC","Bronx",199044,23973000,120
2013,"City EITC","Brooklyn",305021,35435000,116
2013,"City EITC","Manhattan",127167,12049000,95
2013,"City EITC","Queens",249726,25579000,102
2013,"City EITC","Staten Island",29591,3141000,106
2013,"State EITC","Bronx",194772,138837000,713
2013,"State EITC","Brooklyn",296361,205342000,693
2013,"State EITC","Manhattan",123645,70209000,568
2013,"State EITC","Queens",242233,148002000,611
2013,"State EITC","Staten Island",28749,18208000,633
2013,"Noncust. EITC","Bronx",432,204000,472
2013,"Noncust. EITC","Brooklyn",543,268000,494
2013,"Noncust. EITC","Manhattan",268,132000,492
2013,"Noncust. EITC","Queens",400,214000,534
2013,"Noncust. EITC","Staten Island",66,33000,493
2012,"City EITC","Bronx",192687,22797000,118
2012,"City EITC","Brooklyn",296851,33746000,114
2012,"City EITC","Manhattan",126880,11899000,94
2012,"City EITC","Queens",240063,24234000,101
2012,"City EITC","Staten Island",28448,2969000,104
2012,"State EITC","Bronx",188620,131690000,698
2012,"State EITC","Brooklyn",288198,195138000,677
2012,"State EITC","Manhattan",122973,68993000,561
2012,"State EITC","Queens",232672,139767000,601
2012,"State EITC","Staten Island",27586,17176000,623
2012,"Noncust. EITC","Bronx",443,208000,470
2012,"Noncust. EITC","Brooklyn",615,284000,462
2012,"Noncust. EITC","Manhattan",310,150000,483
2012,"Noncust. EITC","Queens",456,218000,478
2012,"Noncust. EITC","Staten Island",56,25000,448
2011,"City EITC","Bronx",196819,23017000,117
