"year","green_area_cum","borough"
2006,1430.4534536164,"Bronx"
2007,2373.20074871159,"Bronx"
2008,3898.37637210908,"Bronx"
2009,4473.0827316489,"Bronx"
2010,6052.65407159668,"Bronx"
2011,6659.6239270739,"Bronx"
2013,6936.12282150726,"Bronx"
2014,7502.35680377251,"Bronx"
2016,8243.60383864322,"Bronx"
2007,6843.78639993531,"Brooklyn"
2008,6946.84006045983,"Brooklyn"
2009,8058.23414187368,"Brooklyn"
2010,10554.7975681433,"Brooklyn"
2011,24331.075842422,"Brooklyn"
2012,25083.8580857061,"Brooklyn"
2013,25608.4141449273,"Brooklyn"
2014,26462.8328453768,"Brooklyn"
2015,27807.621927561,"Brooklyn"
2006,5838.58987087432,"Manhattan"
2007,14216.089192126,"Manhattan"
2008,18748.3372127215,"Manhattan"
2009,20660.9952582623,"Manhattan"
2010,22866.5324144566,"Manhattan"
2011,37257.7826955372,"Manhattan"
2012,37999.8245605086,"Manhattan"
2013,39165.3708428823,"Manhattan"
2015,40672.5407079172,"Manhattan"
2016,41083.9123515464,"Manhattan"
2006,1379.60248507338,"Queens"
2007,2359.71657480257,"Queens"
2008,2561.96576545177,"Queens"
2009,3103.8446834466,"Queens"
2010,4082.00040496351,"Queens"
2011,4701.89656460097,"Queens"
2012,5663.71030228577,"Queens"
2013,6080.60672712351,"Queens"
2015,6232.23508120813,"Queens"
